ep_count,ep_steps,total_steps,packages_lost,ep_reward,speed_mean,speed_max,BestLap,LapNo_0,LapNo_1,LapNo_2,LapNo_3,LapNo_4,LapNo_5
1,121,123,0,3.22560503513301,3.170006390196783,9.502074241638184,0.0,0.0,,,,,
2,393,518,0,6.607826830818494,1.7234059488968083,5.161775588989258,0.0,0.0,,,,,
3,381,901,0,3.808402062203857,1.1772525236658322,11.198820114135742,0.0,0.0,,,,,
4,717,1620,0,5.344397643994809,0.6827444340083053,5.244223594665527,0.0,0.0,,,,,
5,362,1984,0,7.544141846224017,2.132540682162054,10.445548057556152,0.0,0.0,,,,,
6,641,2627,0,310.6434014363406,42.26364004918608,66.0495376586914,0.0,0.0,,,,,
7,288,2917,0,63.82602993723225,21.930512138992224,32.73834991455078,0.0,0.0,,,,,
8,163,3082,0,16.824628156589693,9.864213241603828,18.78850746154785,0.0,0.0,,,,,
9,447,3531,0,11.651215272138767,2.437392957880468,10.471033096313477,0.0,0.0,,,,,
10,188,3721,0,10.856951622757839,5.23884097624637,19.073848724365234,0.0,0.0,,,,,
11,72,3795,0,5.193713521195933,6.509223692518491,14.913525581359863,0.0,0.0,,,,,
12,141,3938,0,8.762368782917768,5.5784516749583215,9.033713340759277,0.0,0.0,,,,,
13,146,4086,0,13.072435222775896,9.243678421037247,15.732802391052246,0.0,0.0,,,,,
14,680,4768,0,16.100375969319096,2.2260723921650105,11.346183776855469,0.0,0.0,,,,,
15,1028,5798,0,349.14674085546113,29.785637662819564,61.519142150878906,0.0,0.0,,,,,
16,153,5953,0,11.764927547175017,7.788762158050743,15.986310005187988,0.0,0.0,,,,,
17,432,6387,0,111.5827815640556,24.54460405439561,43.35734176635742,0.0,0.0,,,,,
18,1088,7477,0,391.33793347830994,32.482846733352,58.45722579956055,0.0,0.0,,,,,
19,1501,8980,0,731.9208220003613,44.417898565833795,63.271697998046875,0.0,0.0,,,,,
20,772,9754,0,333.936008819192,38.53193960335755,63.71142578125,0.0,0.0,,,,,
