ep_count,ep_steps,total_steps,packages_lost,ep_reward,speed_mean,speed_max,BestLap,LapNo_0
1,410,412,0,1.7708190711748566,0.38626023934807674,4.346580505371094,0.0,0.0
2,430,844,0,8.473819526989931,2.0108223653870883,10.072623252868652,0.0,0.0
3,135,981,0,2.4510822413476046,1.6211896451514567,5.188117980957031,0.0,0.0
4,131,1114,0,4.187852469039502,3.604040490809956,8.001365661621094,0.0,0.0
5,448,1564,0,9.031479494202031,2.1595000198420684,9.17553997039795,0.0,0.0
6,263,1829,0,3.087939782015516,1.0297268994644766,6.111257076263428,0.0,0.0
7,1079,2910,0,456.17530250345425,38.77369099819614,67.43450164794922,0.0,0.0
8,131,3043,0,4.193592917500096,3.2224178659811415,7.469309329986572,0.0,0.0
9,1647,4692,0,121.45993635473918,6.812401373933066,45.576759338378906,0.0,0.0
10,601,5295,0,135.24122841259833,21.25224127109529,34.61419677734375,0.0,0.0
11,364,5661,0,68.42578538146395,17.32998675237244,30.359643936157227,0.0,0.0
12,369,6032,0,97.89029396889318,25.071393326641978,48.60597610473633,0.0,0.0
13,420,6454,0,95.04475815394531,21.74199454068259,45.11615753173828,0.0,0.0
14,614,7070,0,262.93423190300604,40.24301589687309,65.55677795410156,0.0,0.0
15,797,7869,0,349.7283055070292,40.01915285670103,61.10466384887695,0.0,0.0
16,1243,9114,0,413.14281364493297,30.727128351818,48.81955337524414,0.0,0.0
17,92,9208,0,5.6290580572500035,6.888581436141344,12.59029769897461,0.0,0.0
18,772,9982,0,310.3309269438915,37.66422231276212,52.856163024902344,0.0,0.0
19,323,10307,0,99.11619594389211,28.99957682405045,45.669620513916016,0.0,0.0
20,342,10651,0,100.5056166683496,28.011928456752393,45.18767547607422,0.0,0.0
21,666,11319,0,281.26447675983,39.770841452163396,57.13338088989258,0.0,0.0
22,1615,12936,0,745.9076215345094,42.38401197576037,62.22591781616211,0.0,0.0
23,707,13645,0,257.35017775332216,33.26921362083246,54.52074432373047,0.0,0.0
24,146,13793,0,19.698554759043148,13.661404166185642,25.01859474182129,0.0,0.0
25,248,14043,0,0.015946112645525437,0.005361542483115045,0.022197645157575607,0.0,0.0
26,216,14261,0,15.110785556702746,6.256963894032028,15.02354907989502,0.0,0.0
27,410,14673,0,9.588135308859327,2.6257890349765103,10.631420135498047,0.0,0.0
28,429,15104,0,0.9634486441679887,0.194386722876397,2.4588332176208496,0.0,0.0
29,327,15433,0,1.5221886406778888,0.4169798495386092,2.552236795425415,0.0,0.0
30,642,16077,0,4.962219484792743,0.6750959117851952,3.50052809715271,0.0,0.0
31,248,16327,0,0.3149849878223231,0.10639218538780106,0.9447538256645203,0.0,0.0
32,141,16470,0,2.372542351441894,1.569661502039443,4.083643913269043,0.0,0.0
33,733,17205,0,211.37602220902846,27.396885873570387,40.67477035522461,0.0,0.0
34,654,17861,0,223.8135192835723,33.272265177963455,52.82178497314453,0.0,0.0
35,248,18111,0,0.007313938643280294,0.0024593488304808196,0.006230373401194811,0.0,0.0
36,773,18886,0,310.74359128813865,37.38444641442927,51.77764129638672,0.0,0.0
37,1086,19974,0,487.4139922560985,40.78102759879803,56.3693733215332,0.0,0.0
38,829,20805,0,324.82720639857985,36.45928459606876,56.56951904296875,0.0,0.0
39,832,21639,0,250.9361443966681,27.8649405931792,40.36891174316406,0.0,0.0
40,577,22218,0,209.29035461464133,33.43918530376079,49.29985809326172,0.0,0.0
41,300,22520,0,91.11465858060618,28.016278547926728,45.07127380371094,0.0,0.0
42,1432,23954,0,583.2165404968773,41.58070704718228,60.856990814208984,0.0,0.0
43,1007,24963,0,328.3180865071507,30.753715865246726,48.45862579345703,0.0,0.0
44,260,25225,0,37.75951973903659,13.335317106546762,26.929222106933594,0.0,0.0
