step,episode,buffer_size,total_time,total_steps,ep_reward,ep_steps,ep_count,packages_lost,speed_mean,speed_max,BestLap,LapNo_0,update_model_perf_mean,update_model_perf_max,update_model_perf_std,step_perf_mean,step_perf_max,step_perf_std,step_perf_q99,step_perf_> thres,action_perf_mean,action_perf_max,action_perf_std,policy_loss,entropy_loss,alpha,entropy
409,1,409,18.043192386627197,412,1.7708190711748566,410,1,0,0.38626023934807674,4.346580505371094,0.0,0.0,7.564792176883696e-07,2.3000000020090283e-06,2.6464595578644507e-07,0.04003151564792166,0.04206100000000035,0.0005735280050840608,0.04116496399999982,7,5.973447432763947e-05,0.0002595999999996934,1.4949342652859493e-05,,,,
838,2,838,36.651206970214844,844,8.473819526989931,430,2,0,2.0108223653870883,10.072623252868652,0.0,0.0,8.26806527011328e-07,2.0000000020559128e-06,2.738047768602134e-07,0.04002875314685327,0.041458100000003384,0.0005575639073162491,0.041161251999998,9,5.878135198128611e-05,0.00011330000000242535,8.999972910738268e-06,,,,
972,3,972,43.440770864486694,981,2.4510822413476046,135,3,0,1.6211896451514567,5.188117980957031,0.0,0.0,7.865671638794267e-07,2.6999999960253263e-06,3.121401911830672e-07,0.04004447611940324,0.041283899999996265,0.0005044112486731216,0.04117885800000401,5,5.838656716431616e-05,8.489999999738984e-05,8.186262528688014e-06,,,,
1102,4,1102,50.08564352989197,1114,4.187852469039502,131,4,0,3.604040490809956,8.001365661621094,0.0,0.0,7.800000003153575e-07,1.499999996212864e-06,2.561249693064835e-07,0.040039199230769366,0.04110440000000182,0.0005301108310094802,0.04099630400000336,2,5.979999999981855e-05,8.77000000016892e-05,8.75957498109402e-06,,,,
1549,5,1549,69.43356680870056,1564,9.031479494202031,448,5,0,2.1595000198420684,9.17553997039795,0.0,0.0,7.335570474454215e-07,2.4999999936881068e-06,3.038774191794864e-07,0.04003166711409367,0.04347300000000587,0.0004851115441892662,0.04106736799999624,7,6.41140939595353e-05,0.0002186000000108379,1.4194314740034879e-05,,,,
1811,6,1811,81.3549451828003,1829,3.087939782015516,263,6,0,1.0297268994644766,6.111257076263428,0.0,0.0,7.316793894291487e-07,1.6000000044869012e-06,2.23667052667871e-07,0.04003288435114519,0.04107319999999959,0.0004744453245388621,0.040922046000002155,2,7.040916030565792e-05,0.00017430000001183998,1.150551776318722e-05,,,,
2889,7,2889,125.99932074546814,2910,456.17530250345425,1079,7,0,38.77369099819614,67.43450164794922,0.0,0.0,0.008693957977736573,0.11407140000000027,0.0054181578721344,0.04003394628942469,0.2273687999999936,0.006158695700944011,0.041161846000009064,22,0.0019585808905378923,0.1115872999999965,0.0034569083963435347,,,,
3019,8,3019,132.6299011707306,3043,4.193592917500096,131,8,0,3.2224178659811415,7.469309329986572,0.0,0.0,0.010382669230770166,0.015993000000008806,0.002141839624099682,0.03999740076922889,0.041118600000004335,0.00047690207566045123,0.04098650300000799,1,0.0021925438461553224,0.0036146000000201184,0.00035955142416060947,,,,
4665,9,4665,199.98268222808838,4692,121.45993635473918,1647,9,0,6.812401373933066,45.576759338378906,0.0,0.0,0.010390021324422674,0.01657289999999989,0.0018846960715751743,0.04003160218711998,0.04856190000000993,0.0005663900197986233,0.0411581500000068,32,0.00225140972053485,0.0064002999999956955,0.00032891416570156697,,,,
5265,10,5265,225.4387927055359,5295,135.24122841259833,601,10,0,21.25224127109529,34.61419677734375,0.0,0.0,0.010840072333333381,0.016645699999997987,0.002314175188686536,0.04001981333333295,0.04122970000000237,0.000485910706531841,0.040970288999987475,5,0.0021976934999999287,0.0033104999999977736,0.0003488148864962986,,,,
5628,11,5628,241.39704203605652,5661,68.42578538146395,364,11,0,17.32998675237244,30.359643936157227,0.0,0.0,0.011407092837465823,0.017069700000007515,0.0025153076602446277,0.04003058209366404,0.04105540000000474,0.0005366374726595894,0.040986948000003735,3,0.002240256473828767,0.0036613000000045304,0.00034927674028049796,,,,
