step,episode,buffer_size,total_time,total_steps,ep_reward,ep_steps,ep_count,packages_lost,speed_mean,speed_max,BestLap,LapNo_0,update_model_perf_mean,update_model_perf_max,update_model_perf_std,step_perf_mean,step_perf_max,step_perf_std,step_perf_q99,step_perf_> thres,action_perf_mean,action_perf_max,action_perf_std,policy_loss,entropy_loss,alpha,entropy,LapNo_1,LapNo_2,LapNo_3,LapNo_4,LapNo_5
903,1,903,37.92467403411865,906,11.41962570173296,904,1,0,1.195318351617343,7.348422050476074,0.0,0.0,7.741971207346381e-07,6.400000000184036e-06,3.698624342369383e-07,0.040034764562569325,0.042227600000000365,0.0005059994553352047,0.04108147999999595,16,6.343156146177572e-05,0.0016847999999995977,5.441627328191609e-05,,,,,,,,,
1030,2,1030,44.43770432472229,1036,1.7693922644802043,128,2,0,1.2495277763982813,5.06001615524292,0.0,0.0,7.32283464732228e-07,1.6999999985500835e-06,3.003624819394475e-07,0.039999418110236176,0.04110400000000425,0.0005058956011649807,0.041042071999999055,2,6.11574803150819e-05,7.880000000426435e-05,4.998464641076939e-06,,,,,,,,,
1433,3,1433,62.02221393585205,1442,3.2222916883987995,404,3,0,0.7906361895510788,8.570571899414062,0.0,0.0,8.535980147431817e-07,2.600000001962144e-06,3.7813136896474495e-07,0.04004104937965314,0.04302380000000028,0.0005984358588349,0.04122739199999899,20,6.424813895746106e-05,0.00012350000000083128,9.461399456006932e-06,,,,,,,,,
2204,4,2204,94.34913873672485,2216,5.577253293030912,772,4,0,0.810539824826208,8.096555709838867,0.0,0.0,0.0028814833981844466,0.2087712999999951,0.008660798567787342,0.04004050843060955,0.45905090000000826,0.015559261189561921,0.04107976999999892,11,0.0011152683527889387,0.24859810000000948,0.009024198031569638,,,,,,,,,
2910,5,2910,124.05732107162476,2925,183.38893028841323,707,5,0,25.986928274779768,47.50387191772461,0.0,0.0,0.010146977195467907,0.027994799999987663,0.0021668124359939104,0.04003432903682701,0.04179789999999173,0.0004797531721292911,0.04111255999998775,13,0.002874770254958053,0.018247599999995145,0.001356167328643861,-18.718711853027344,-1.325330376625061,0.7538333535194397,1.6951245069503784,,,,,
3948,6,3948,167.04468202590942,3966,187.16220407453415,1039,6,0,17.843209523943933,50.82907485961914,0.0,0.0,0.010009753853564942,0.025536000000016656,0.0019306764452500147,0.04002291175337064,0.04687690000000089,0.0005478317483904616,0.04103600600000447,13,0.002805709922928747,0.011581300000017336,0.0010574272022061625,,,,,,,,,
4205,7,4205,178.74597454071045,4226,38.69147689518403,258,7,0,14.682843931267028,21.153615951538086,0.0,0.0,0.010099345914396766,0.017825599999980568,0.0016407824717037888,0.040024421011671835,0.04218140000000403,0.0005395997006221431,0.041009496000007174,3,0.002879455642023162,0.00840439999998921,0.0011109472162312494,,,,,,,,,
4563,8,4563,194.52664160728455,4587,29.518746014727306,359,8,0,7.669587135199499,17.829010009765625,0.0,0.0,0.010419806145251844,0.031935599999997066,0.002244314522172131,0.04007564189944091,0.04652660000002129,0.0006511676672063142,0.0412223479999966,18,0.0028489276536317306,0.011995399999989331,0.0012072996015578704,,,,,,,,,
5147,9,5147,219.33122539520264,5174,27.257109583767622,585,9,0,5.025845378332544,24.54656982421875,0.0,0.0,0.010123759417807915,0.01752079999999978,0.0017885898510046285,0.0400418998287676,0.041610800000000836,0.0005418101925752177,0.041242884000003525,16,0.0029940018835616588,0.014458899999993946,0.001405749999834312,,,,,,,,,
5565,10,5565,237.50284695625305,5595,137.50979797913556,419,10,0,30.54272666898515,43.326358795166016,0.0,0.0,0.010635226076554559,0.023519800000002533,0.00215259846755105,0.04004987296650631,0.04227939999998398,0.0005731262611809011,0.04128791599999374,19,0.0027913366028711746,0.008096399999999448,0.0008517629260691509,,,,,,,,,
5897,11,5897,252.22133946418762,5930,77.3956395449427,333,11,0,22.96470428956253,42.755001068115234,0.0,0.0,0.010356598493976372,0.023108700000022964,0.0020783023018031816,0.040027573493974365,0.04276329999999007,0.0005937829144378023,0.041309964000009816,7,0.002674608132531067,0.010118299999987812,0.001016462279459409,,,,,,,,,
6131,12,6131,262.9809193611145,6167,55.0938082500334,235,12,0,20.973397774456387,34.621524810791016,0.0,0.0,0.010534665384615968,0.017523200000027828,0.0019654060195003877,0.04001333974358964,0.041188300000044364,0.0005179477527845268,0.041008734999986696,3,0.002791347863248388,0.009660499999995409,0.0009773216045579152,,,,,,,,,
6562,13,6562,281.64312982559204,6601,103.57563042653776,432,13,0,22.15688406613912,45.0389289855957,0.0,0.0,0.010470992343388063,0.019955799999991086,0.001956143599403872,0.04001641392111192,0.04183449999999311,0.0005628585456856633,0.04114995999998996,12,0.002927277262179427,0.013141500000017459,0.0012109336939652585,,,,,,,,,
7192,14,7192,308.3326303958893,7234,93.96473663479183,631,14,0,14.751983948394903,44.978057861328125,0.0,0.0,0.010398580476191549,0.02516570000000229,0.0021116432809047316,0.040055602857142505,0.04190839999995433,0.0006011706203076438,0.04141442699998948,35,0.0028499996825397077,0.01106129999999439,0.0012040787028538922,,,,,,,,,
7850,15,7850,336.1273341178894,7895,290.48806331213086,659,15,0,40.44616808839197,61.150306701660156,0.0,0.0,0.010566535866261198,0.02705479999997351,0.0022087448955183994,0.040047119300910455,0.04169160000003558,0.0005262369292074967,0.04120079400000975,20,0.0028831872340425147,0.015958599999976286,0.0012549226120396762,-27.862892150878906,-7.160857200622559,0.17599475383758545,1.1224894523620605,,,,,
