ep_count,ep_steps,total_steps,packages_lost,ep_reward,speed_mean,speed_max,BestLap,LapNo_0,LapNo_1,LapNo_2,LapNo_3,LapNo_4,LapNo_5
1,904,906,0,11.41962570173296,1.195318351617343,7.348422050476074,0.0,0.0,,,,,
2,128,1036,0,1.7693922644802043,1.2495277763982813,5.06001615524292,0.0,0.0,,,,,
3,404,1442,0,3.2222916883987995,0.7906361895510788,8.570571899414062,0.0,0.0,,,,,
4,772,2216,0,5.577253293030912,0.810539824826208,8.096555709838867,0.0,0.0,,,,,
5,707,2925,0,183.38893028841323,25.986928274779768,47.50387191772461,0.0,0.0,,,,,
6,1039,3966,0,187.16220407453415,17.843209523943933,50.82907485961914,0.0,0.0,,,,,
7,258,4226,0,38.69147689518403,14.682843931267028,21.153615951538086,0.0,0.0,,,,,
8,359,4587,0,29.518746014727306,7.669587135199499,17.829010009765625,0.0,0.0,,,,,
9,585,5174,0,27.257109583767622,5.025845378332544,24.54656982421875,0.0,0.0,,,,,
10,419,5595,0,137.50979797913556,30.54272666898515,43.326358795166016,0.0,0.0,,,,,
11,333,5930,0,77.3956395449427,22.96470428956253,42.755001068115234,0.0,0.0,,,,,
12,235,6167,0,55.0938082500334,20.973397774456387,34.621524810791016,0.0,0.0,,,,,
13,432,6601,0,103.57563042653776,22.15688406613912,45.0389289855957,0.0,0.0,,,,,
14,631,7234,0,93.96473663479183,14.751983948394903,44.978057861328125,0.0,0.0,,,,,
15,659,7895,0,290.48806331213086,40.44616808839197,61.150306701660156,0.0,0.0,,,,,
16,426,8323,0,99.82906098144728,24.18694349610085,47.388736724853516,0.0,0.0,,,,,
17,201,8526,0,45.944893562484815,21.667898771658873,41.35496139526367,0.0,0.0,,,,,
18,405,8933,0,151.0576210666127,33.254942329049136,50.93870162963867,0.0,0.0,,,,,
19,905,9840,0,391.8916437367925,38.82576782575909,55.19902420043945,0.0,0.0,,,,,
20,100,9942,0,9.040632598682468,8.958585737379035,16.32178497314453,0.0,0.0,,,,,
21,156,10100,0,15.897816940262766,11.084876651580904,24.101289749145508,0.0,0.0,,,,,
22,91,10193,0,6.379965028029808,6.065723355978492,15.845357894897461,0.0,0.0,,,,,
23,60,10255,0,3.457892810626049,5.304964552969128,10.512677192687988,0.0,0.0,,,,,
24,93,10350,0,7.607256008060994,7.404571788878711,14.423746109008789,0.0,0.0,,,,,
25,141,10493,0,5.857838074516443,3.9051616295481906,8.345398902893066,0.0,0.0,,,,,
26,681,11176,0,299.91236425205784,38.9573025853953,53.81568145751953,0.0,0.0,,,,,
27,179,11357,0,16.762164306587632,12.29307601277784,20.286928176879883,0.0,0.0,,,,,
28,173,11532,0,28.868264288810845,15.263394161368414,25.72494125366211,0.0,0.0,,,,,
