step,episode,buffer_size,total_time,total_steps,ep_reward,ep_steps,ep_count,packages_lost,speed_mean,speed_max,BestLap,LapNo_0,update_model_perf_mean,update_model_perf_max,update_model_perf_std,step_perf_mean,step_perf_max,step_perf_std,step_perf_q99,step_perf_> thres,action_perf_mean,action_perf_max,action_perf_std,policy_loss,entropy_loss,alpha,entropy,LapNo_1
3886,11,3886,172.13269996643066,3919,103.13742488655288,779,11,0,12.07895966497458,43.349613189697266,0.0,0.0,0.01582220835475613,0.0266708000000051,0.003133023482074124,0.04004739691516636,0.04621419999998011,0.0008080304462373917,0.041720149999997604,80,0.004493643187660657,0.009653999999983398,0.0016333733642774721,,,,,
4551,12,4551,200.19267082214355,4587,188.65166551121672,666,12,0,28.772580046966382,46.29267883300781,0.0,0.0,0.016983937744360383,0.028401999999999816,0.0036158229868513457,0.04004819939849664,0.0423725999999931,0.0007197999708982032,0.04189411200000791,63,0.0044901921804504875,0.009615400000001273,0.0016639345049285254,,,,,
4929,13,4929,216.75237894058228,4968,25.07277908682156,379,13,0,6.426123573929489,22.173084259033203,0.0,0.0,0.015990257142857806,0.025455199999981915,0.003195503264595194,0.04001957142857015,0.04197349999998323,0.00071414941312194,0.041731442999988246,35,0.004241988359788977,0.012225199999988945,0.0016483252842726939,,,,,
5121,14,5121,225.86386585235596,5163,16.49575917987641,193,14,0,7.874273991102468,14.66112232208252,0.0,0.0,0.01581541249999911,0.02680549999999471,0.0032780591187146274,0.04004630885416768,0.04223189999999022,0.0008196329166125301,0.04182637099997549,26,0.004391865625000602,0.008117699999985462,0.0014404998277387105,,,,,
6633,15,6633,287.9057021141052,6678,469.5550731144445,1513,15,0,28.451719576406,47.066837310791016,0.0,0.0,0.016861383994709298,0.035811000000023796,0.004249881547959293,0.04004762559523734,0.04306819999999334,0.0007259326115381397,0.041722113000010386,138,0.004308651917990177,0.01404229999997142,0.0016591149047827992,,,,,
7165,16,7165,310.6631462574005,7213,67.90239773643997,533,16,0,13.164251160837612,35.35063171386719,0.0,0.0,0.020948147744361552,0.03621689999999944,0.003934265016316908,0.04005712763157833,0.047511100000008355,0.0009239786726767763,0.04229285899996227,61,0.00483207406015198,0.009698599999978796,0.00139528731195506,,,,,
7956,17,7956,343.80705428123474,8007,265.7436981765896,792,17,0,30.89878577640918,57.83127212524414,0.0,0.0,0.014668178002529113,0.03523960000001125,0.0033245174453364517,0.04004929469026507,0.045657199999993736,0.0006583963754871678,0.04154404999999315,38,0.003785328318583686,0.008644199999991997,0.0013880955970962583,,,,,
8652,18,8652,373.1111114025116,8706,355.27188210146045,697,18,0,45.18086041403678,64.43582153320312,0.0,0.0,0.01309404813218429,0.02272859999999355,0.002023399287204637,0.040043394827586475,0.04163639999995894,0.0005936490363789308,0.04132873500001324,32,0.0037082379310346995,0.011776400000030662,0.001045051709178124,,,,,
9274,19,9274,399.5769679546356,9331,71.56957553875624,623,19,0,11.363450795139805,25.06237030029297,0.0,0.0,0.013205484565915115,0.02442129999997178,0.0024878831567206306,0.04004014228295911,0.04252560000003314,0.0006687757629843163,0.04152842000002579,43,0.003427832154340793,0.0065179000000057385,0.0012406006762731383,,,,,
10327,20,10327,443.18402671813965,10387,445.0352590292151,1054,20,0,37.83997199571412,58.90983581542969,0.0,0.0,0.011642793162391748,0.02070770000000266,0.0017540326437003669,0.040035150522316924,0.04315380000002733,0.0007368269935578098,0.04185510400000339,79,0.002925675973409533,0.00550399999997353,0.0008001569138619459,,,,,
10574,21,10574,454.4702453613281,10637,0.01160005791916972,248,21,0,0.0039024823179774574,0.015912601724267006,0.0,0.0,0.011830975708501633,0.02200810000005049,0.0020172730402717343,0.04002056072874387,0.04173159999999143,0.0007134226679266937,0.041503975999967226,17,0.002689498785423715,0.00438939999997956,0.0005637095276247665,,,,,
11224,22,11224,481.96172857284546,11290,80.0139591471271,651,22,0,11.974671838249513,40.743629455566406,0.0,0.0,0.01140661923077066,0.019589600000017526,0.0019247532463740802,0.04002699246153961,0.046404400000028545,0.0007815017063543807,0.04168565600000761,57,0.0028932979999993116,0.005940000000009604,0.0006907610779276253,,,,,
12708,23,12708,542.8527755737305,12777,537.2799162814423,1485,23,0,34.2471557637033,54.63577651977539,0.0,0.0,0.010923649258761171,0.019530200000076547,0.001775968358437146,0.04003374103773593,0.044194800000013856,0.0006203572231209886,0.04131997399998113,77,0.002959799056603082,0.007625200000006771,0.0007124536220781115,,,,,
12955,24,12955,554.1940226554871,13027,0.002195500866329647,248,24,0,0.0007390343264506232,0.005850228946655989,0.0,0.0,0.011092537651821797,0.016782499999976608,0.0018528920699203413,0.040030430364370234,0.04140160000008564,0.0005962451764605036,0.041291920000064694,15,0.0031012344129604658,0.004798800000003212,0.0005704100119819402,,,,,
14032,25,14032,598.7980191707611,14107,450.1113886848665,1078,25,0,37.61099188914422,57.37211990356445,0.0,0.0,0.011548844103993549,0.02244959999995899,0.001962781091497813,0.040038094150414344,0.0427981999999929,0.0006453272049137827,0.04149915600001805,72,0.0030004129062198206,0.00612269999999171,0.0007917438120656388,,,,,
14557,26,14557,621.2652306556702,14635,5.777523622051317,526,26,0,1.0410483472348906,9.516560554504395,0.0,0.0,0.011735847428571582,0.018851899999958732,0.0019102759343300124,0.04003560533333495,0.0431145000000015,0.0006248195669829636,0.041454731999992875,28,0.0029654990476194057,0.007318800000007286,0.000890150326169397,,,,,
14716,27,14716,629.0585894584656,14797,16.319851996090897,160,27,0,9.618343854857084,16.57161521911621,0.0,0.0,0.011361276729554396,0.016138099999920996,0.0016433956416531037,0.040044617610066446,0.04147530000000188,0.0006440411188008459,0.04140711799998598,13,0.002620176100622474,0.004502200000047196,0.0008339283553311075,,,,,
15148,28,15148,647.7752552032471,15232,1.6528012540310517,433,28,0,0.3421069118282501,2.0413904190063477,0.0,0.0,0.01207983796296264,0.022811499999988882,0.0023561734745970175,0.040036996759257946,0.042332699999974466,0.0006484658718695923,0.041586772000007384,27,0.003119844444443461,0.0063997999999401145,0.0009440581065922032,,,,,
15395,29,15395,659.0942265987396,15482,0.3086829681821657,248,29,0,0.104582764797464,0.8397780060768127,0.0,0.0,0.012070860728745395,0.022376900000040223,0.0024014664636850995,0.0400344461538491,0.042139600000041355,0.000702519109982817,0.04161387199993214,21,0.0034066825910867957,0.00623069999994641,0.0008632867476334186,,,,,
15642,30,15642,670.4193468093872,15732,0.0018784266856126126,248,30,0,0.0006313056600623484,0.005613609682768583,0.0,0.0,0.011739913765187737,0.01893489999997655,0.0021517008685389273,0.04000010647773347,0.04173609999998007,0.0007024140470979571,0.04154049000000441,23,0.0032791141700350664,0.005955700000072284,0.000680223537446983,,,,,
15889,31,15889,681.7346088886261,15982,0.0017464281993697715,248,31,0,0.0005870122993714645,0.003544691251590848,0.0,0.0,0.011420813360325657,0.021923899999933383,0.0021907909496071717,0.040038811336029566,0.04754049999996823,0.0009017107593632728,0.041412848000047686,22,0.003113484210534402,0.005336000000056629,0.0008067881274211277,,,,,
16136,32,16136,693.0402355194092,16232,0.0019918022379425354,248,32,0,0.0006696311880557093,0.004155146423727274,0.0,0.0,0.011548937651820452,0.019908699999973578,0.0017914302757270338,0.04003227692307449,0.044969499999979234,0.0007760293168702755,0.0413968959999761,12,0.00309253684210456,0.0048646000000189815,0.0007902922684777651,,,,,
16383,33,16383,704.3697030544281,16482,0.0017726818391806624,248,33,0,0.0005957480291492116,0.004623662680387497,0.0,0.0,0.010827079352221472,0.018046300000037263,0.0017949823132052988,0.04004463117408467,0.04190539999990506,0.0006287673176300599,0.04156161600004225,15,0.003133825910934298,0.005357399999979862,0.0008530182774596782,,,,,
16684,34,16684,717.8537042140961,16786,0.30210130659223716,302,34,0,0.08407324951921034,2.1738507747650146,0.0,0.0,0.011528164784050488,0.019575800000097843,0.002098630912445378,0.04002797840531416,0.04216159999998581,0.0006741140099713998,0.041511000000014064,23,0.0030717966777423153,0.0059252999999444,0.0008784726179703076,,,,,
17015,35,17015,732.5409288406372,17120,0.7394082124731436,332,35,0,0.1909353528642852,2.7736752033233643,0.0,0.0,0.011214049546827117,0.01871470000003228,0.0018793497731457492,0.04000708580060553,0.04155929999990349,0.0006190157029942806,0.04138703000002124,17,0.0032485456193324744,0.00529519999997774,0.0008051184691900223,,,,,
17262,36,17262,743.857369184494,17370,0.0018470336578629218,248,36,0,0.0006208182582902795,0.005374022293835878,0.0,0.0,0.011346734412955325,0.017766900000083297,0.0018989875058877412,0.04003536963562525,0.042621300000064366,0.0006901309631127969,0.041504749999999146,16,0.0031061534412931903,0.0058536999999887485,0.0008149158778117064,,,,,
17697,37,17697,762.7262811660767,17808,3.911746106885281,436,37,0,1.1314877815388706,8.632908821105957,0.0,0.0,0.011109820689656949,0.024675999999999476,0.0018941111202708321,0.040025851724136245,0.042288099999950646,0.0006528253144516925,0.041548054000040795,26,0.00310186528735666,0.005035199999952056,0.000747503195309454,,,,,
17768,38,17768,766.9928827285767,17882,3.3171117430790202,72,38,0,4.124378579228909,7.758457660675049,0.0,0.0,0.011828805633794999,0.018466200000034405,0.002348819586063016,0.040024284507044476,0.041346800000042094,0.0005618605858410896,0.04121883999999909,4,0.0032934126760677906,0.005421200000000681,0.000628504144314916,,,,,
18335,39,18335,791.1472632884979,18452,5.571200026986812,568,39,0,0.9136911737159864,7.617691993713379,0.0,0.0,0.011666185361550393,0.022026399999958812,0.00226087191632883,0.040025585185184585,0.04245649999995749,0.0006290897130054597,0.04143532199996799,34,0.0029843462081125547,0.005294499999990876,0.0008217153924699852,,,,,
18582,40,18582,802.4700496196747,18702,0.008815918952273924,248,40,0,0.0029636726828738895,0.009199296124279499,0.0,0.0,0.011753053441291166,0.019630099999972117,0.002250726986371927,0.04003059392712507,0.04184620000000905,0.0006230654116606406,0.04141482999998288,13,0.002885136842101829,0.005622399999992922,0.0007565311311817493,,,,,
18829,41,18829,813.7809493541718,18952,0.08585071038061318,248,41,0,0.028866731676962153,0.6519044637680054,0.0,0.0,0.011791869635630182,0.02080660000001444,0.002095705084235562,0.04001428542509942,0.04230959999995321,0.0006560888091835662,0.04137559599997075,18,0.0026369392712593856,0.006240000000047985,0.0008083837016537625,,,,,
19076,42,19076,825.1183805465698,19202,0.00831762092193684,248,42,0,0.0027959603496950174,0.00956361647695303,0.0,0.0,0.01142436801619495,0.017498100000011618,0.0018369103368422704,0.040030500404862376,0.042283100000076956,0.0005710171502362948,0.04146048000001429,9,0.002922036842103067,0.006309399999963716,0.0006307659935965638,,,,,
19323,43,19323,836.4540772438049,19452,0.00885695295717384,248,43,0,0.00297675743410852,0.010802119970321655,0.0,0.0,0.012292025101214124,0.024555000000077598,0.002273044367318994,0.04003778704452727,0.041793299999994815,0.0006541254811594462,0.04156636600003821,15,0.002903370850202484,0.004921299999978146,0.0008667083180334976,,,,,
19570,44,19570,847.7716097831726,19702,0.008555166894965612,248,44,0,0.00287521958377892,0.008968878537416458,0.0,0.0,0.012089383805668378,0.019639099999949394,0.0022040381100169545,0.04002404048583138,0.04174199999999928,0.000640538596166482,0.04148400199994285,14,0.0027360388663939987,0.006714999999985594,0.0008029489414807379,-30.082534790039062,0.955572783946991,0.02291707694530487,-3.253077745437622,
19817,45,19817,859.1016476154327,19952,0.009026164559593434,248,45,0,0.0030330709297202467,0.008969812653958797,0.0,0.0,0.012295215789476547,0.01889640000001691,0.0021139448893818654,0.040033613765185765,0.04178269999999884,0.0006772304434838268,0.041450596000033785,22,0.0030178870445314006,0.005350399999997535,0.0007973076029218015,,,,,
20064,46,20064,870.4339978694916,20202,0.00951594734942814,248,46,0,0.0031985058396399365,0.00931711494922638,0.0,0.0,0.011752710526314162,0.017113000000108514,0.0018851711749386373,0.040039768421053286,0.04291990000001533,0.0006945121581866001,0.04146796599998879,15,0.002950784615384356,0.0047657000000072,0.000663097600798412,,,,,
20868,47,20868,904.1028707027435,21009,325.29389465656783,805,47,0,37.11975163039231,54.53879165649414,0.0,0.0,0.012020407213930863,0.01944519999995009,0.002097464024275567,0.040037012064677996,0.04251890000000458,0.0006366734528118869,0.04146248199998809,49,0.003094835447762452,0.00855540000009114,0.000865719499270158,,,,,
21291,48,21291,922.4885125160217,21435,102.82644728526763,424,48,0,21.83929934752018,40.29323196411133,0.0,0.0,0.014181247517731971,0.025315800000043964,0.002710514188059642,0.040044261229316126,0.04212069999994128,0.0006775685137617283,0.04146988799999917,35,0.003789783687944158,0.006137899999998808,0.0011107062347624917,,,,,
21667,49,21667,938.9951055049896,21814,97.21339877647188,377,49,0,24.786883548185582,42.22914123535156,0.0,0.0,0.016396347340426526,0.028416999999990367,0.0038810587215829563,0.04004162712765978,0.0426894000000857,0.0007675006379592811,0.04170330000002309,42,0.004539249468085083,0.010086199999932433,0.0016246871334127447,,,,,
22255,50,22255,963.9819498062134,22405,268.26786433632236,589,50,0,41.41213936914598,59.378902435302734,0.0,0.0,0.018169131632649726,0.03272449999997207,0.003663095480929704,0.04004553775510119,0.04209209999999075,0.0007085451049064314,0.04146010700002194,55,0.004971703741495164,0.009993200000053548,0.0017257334830575815,,,,,
23097,51,23097,999.1535451412201,23250,354.37536212604095,843,51,0,38.49342872475123,55.88539123535156,0.0,0.0,0.015682331472684444,0.028003800000078627,0.0033541977849278113,0.04004181781472668,0.042702200000007906,0.000720693686939004,0.04167314199999737,76,0.004317363420427693,0.010975299999927302,0.0016383418946647656,,,,,
23785,52,23785,1028.2055220603943,23941,361.80047516369723,689,52,0,46.0254095646719,60.6511344909668,0.0,0.0,0.01852690436046609,0.03721270000005461,0.005798720127342217,0.0400547864825564,0.04953069999987747,0.0012183075589412213,0.04329524000004312,76,0.004429514244188623,0.011773399999810863,0.0019340795672034296,,,,,
24035,53,24035,1039.6511092185974,24194,18.23537448344719,251,53,0,9.523913747936893,22.64927101135254,0.0,0.0,0.023608280400009788,0.0340204999999969,0.0043363848008119805,0.04003943920000256,0.04421189999993658,0.001071754764517836,0.0429654289998848,33,0.0049789391999956936,0.011682199999995646,0.001936964219111815,,,,,
24105,54,24105,1043.8849928379059,24267,5.092077663761032,71,54,0,6.485975175197433,14.482488632202148,0.0,0.0,0.022384200000003927,0.032336399999849164,0.00393455981860576,0.04003810142858129,0.04187189999993279,0.0006796724914034492,0.04146597300000849,6,0.004571374285702794,0.007557899999937945,0.001608658853692953,,,,,
24156,55,24156,1047.3232901096344,24321,1.6196753740924599,52,55,0,2.796528478878407,8.321757316589355,0.0,0.0,0.02273495686275358,0.02895580000017617,0.003607316935480194,0.040086686274502,0.04137150000019574,0.000550231517404126,0.041125850000071296,1,0.004915417647074112,0.007417900000064037,0.0014409734751029875,,,,,
24200,56,24200,1050.4832623004913,24368,1.8383693284016778,45,56,0,3.6452525799136817,9.322959899902344,0.0,0.0,0.023452797727279838,0.03174669999998514,0.003790094679765878,0.04009183636361513,0.04260359999989305,0.0007000893430235435,0.042040385999916906,2,0.0047961499999887155,0.006864899999982299,0.0015095956009644818,-31.654245376586914,-0.006438493728637695,0.025255432352423668,-2.9982497692108154,
24391,57,24391,1059.550770998001,24562,29.763760134674026,192,57,0,14.878782307387155,23.91159439086914,0.0,0.0,0.022520465968581215,0.03031379999993078,0.0036270809910430133,0.04004163036649101,0.042336700000078054,0.0006946612623013523,0.041712300000062895,12,0.004587270680624074,0.008248200000025463,0.0016888676004058265,,,,,
24606,58,24606,1069.606326341629,24780,14.351072872828691,216,58,0,6.741981104560114,14.895962715148926,0.0,0.0,0.022806017209308437,0.03046519999998054,0.0036170179521805594,0.04005309813952979,0.04226719999996931,0.0007386091745710417,0.04207032000006619,27,0.004461650232555215,0.007720599999856859,0.0016753459257588374,,,,,
27776,59,27776,1198.1656522750854,27953,1555.0913733604825,3171,59,0,43.60219114351617,66.68472290039062,0.0,0.0,0.023416614258675642,0.16981540000006135,0.00501265321529875,0.04004977394321499,0.17686579999985952,0.002822041230789516,0.043672590999849485,334,0.005061665772871289,0.012602300000025934,0.0017465141923148585,,,,,168.872
28020,60,28020,1209.3708565235138,28200,28.421975243984804,245,60,0,11.828125495766765,26.490100860595703,0.0,168.872,0.02109667090163854,0.03250050000019655,0.004267578356183496,0.0400570180327877,0.0464099000000715,0.0009049817909787193,0.04167612700004838,25,0.004585858606551259,0.00832999999988715,0.0015842599595934624,-32.87628936767578,-0.06532436609268188,0.02243873104453087,-2.982795238494873,
28130,61,28130,1215.1768279075623,28313,5.733522015758459,111,61,0,4.679895790311642,7.990230083465576,0.0,168.872,0.022656809090901994,0.037881200000128956,0.003915829900313182,0.04000099272726319,0.047067299999980605,0.0012127393576509989,0.04216795000007096,14,0.005169714545449592,0.012325800000098752,0.0021211342099794863,-26.99418067932129,0.723095715045929,0.0221711378544569,-3.189842700958252,
28491,62,28491,1231.0916910171509,28677,2.8464914877484,362,62,0,0.7349616159383948,5.763143539428711,0.0,168.872,0.02332892686980425,0.03563080000003538,0.004082124462258744,0.040068507479223636,0.044500500000140164,0.001050618738327073,0.04260272000005897,46,0.00496228088643124,0.010375599999861151,0.0016533995169325155,,,,,
29054,63,29054,1255.0947391986847,29243,2.683132771657898,564,63,0,0.4374084022763924,3.636207342147827,0.0,168.872,0.02243460639431406,0.03522829999997157,0.003859325272118815,0.040042973889873774,0.04326060000016696,0.0008830364682350253,0.04202522799993858,63,0.004849997868564827,0.008983100000023114,0.0014496155177729586,,,,,
29145,64,29145,1260.743129491806,29337,5.003214793082895,92,64,0,4.855621515373375,12.874241828918457,0.0,168.872,0.02243418571427875,0.030370799999900555,0.003548636717106145,0.040058726373624995,0.041800199999897814,0.000704079683890865,0.04176456000006965,10,0.004989007692297042,0.007395599999881597,0.0012846531719314998,,,,,
29250,65,29250,1266.3890285491943,29445,7.818004750745002,106,65,0,7.195485507526857,12.46788501739502,0.0,168.872,0.021862491428555585,0.03135300000008101,0.004044779057744799,0.040048286666684536,0.04159199999980956,0.0007038529819311217,0.04157912000001488,10,0.004758718095241594,0.008926100000053339,0.001454306647221434,-32.65771484375,0.9258800745010376,0.02194729633629322,-3.2424240112304688,
29939,66,29939,1295.4095647335052,30137,329.7183182967666,690,66,0,42.981061028965506,66.30992126464844,0.0,168.872,0.02252390711175496,0.03255310000008649,0.003619201799243609,0.040043233381721964,0.0419574999998531,0.0006968560725303328,0.04157653600010235,70,0.0046551986937608284,0.009937999999920066,0.0013843249428968298,,,,,
30083,67,30083,1302.5961980819702,30284,11.596506945429713,145,67,0,9.907465375651574,15.2252197265625,0.0,168.872,0.02323322430554558,0.03998890000002575,0.004472585095908134,0.04003261180556371,0.05165790000000925,0.002054354120431892,0.045861674999939615,17,0.00521814305555621,0.009578800000099363,0.0014504094897232235,,,,,
32664,68,32664,1407.5402538776398,32868,1271.1495887365656,2582,68,0,43.18520743013073,66.46039581298828,0.0,168.872,0.022742518597443404,0.03339499999992768,0.0034652448029129346,0.040044667028284006,0.04250470000010864,0.0006965031288004885,0.04158622000004471,230,0.0047056933359169535,0.00887749999992593,0.0014061838442096558,,,,,
32794,69,32794,1414.1893537044525,33001,11.452651468500731,131,69,0,7.615772179151949,13.78852367401123,0.0,168.872,0.021888368461530333,0.03674219999993511,0.004735802386623403,0.04002910000000471,0.05128979999994954,0.0015546618843348754,0.04385835099994209,10,0.004566597692300652,0.012522199999921213,0.001783433637555333,,,,,
33340,70,33340,1437.529170036316,33550,271.06482250368924,547,70,0,43.95905559262094,67.59281158447266,0.0,168.872,0.022383182967030988,0.03880000000003747,0.004594609099034366,0.04005802545787733,0.04836709999995037,0.0013490943561186425,0.04508039000000961,66,0.004951461904766093,0.011519899999939298,0.001651607950059217,-33.66241455078125,-0.5100917816162109,0.021518224850296974,-2.867122173309326,
33767,71,33767,1456.0689618587494,33980,47.87930976250344,428,71,0,10.313871134236829,25.820615768432617,0.0,168.872,0.020992780327874105,0.031235700000024735,0.00375237149188368,0.040045044496488776,0.04183439999997063,0.0007090169959455194,0.041442054000008284,43,0.004615186651050652,0.007494100000030812,0.0013248589129882353,,,,,
34014,72,34014,1467.3904058933258,34230,0.02150409860380314,248,72,0,0.007237189420676816,0.1812804490327835,0.0,168.872,0.02133429190284049,0.03035560000012083,0.0037704398903439535,0.040039739676112844,0.041619500000024345,0.0006680218560820503,0.04135026399988419,23,0.004455147773285952,0.008072600000105012,0.0014250960013362617,,,,,
35234,73,35234,1517.733608007431,35453,512.780461227482,1221,73,0,36.76545325659853,67.10984802246094,0.0,168.872,0.021836926475409246,0.03724029999989398,0.0038513678091535394,0.04004282540984057,0.0478158999999323,0.0007603675814495854,0.04169877100000348,105,0.004637961557378156,0.011138399999936155,0.0014129635289792653,,,,,
36719,74,36719,1578.7215077877045,36941,782.6626561230407,1486,74,0,46.39938387361717,67.25860595703125,0.0,168.872,0.022507549158251587,0.03339400000004389,0.003660692151081466,0.04005240491582367,0.04286909999996169,0.000680662097727003,0.041428936000056635,120,0.004752671649833488,0.009896200000184763,0.0014640304332669454,,,,,
37447,75,37447,1609.3358402252197,37672,348.7833903128637,729,75,0,41.944628548411885,69.04844665527344,0.0,168.872,0.022047025549448457,0.03429690000007213,0.0038824791325473913,0.04004213873626729,0.04338899999993373,0.0006699430551885912,0.04139970200006246,44,0.004485596291210066,0.00921650000009322,0.0014704956234385697,,,,,
37527,76,37527,1613.9850869178772,37755,4.104278355053254,81,76,0,4.760471090243232,7.4838151931762695,0.0,168.872,0.02218908374998705,0.02945799999997689,0.0031114632062943254,0.04008764749999898,0.041611099999954604,0.0006522368258213239,0.041425607999919976,6,0.004509092499998246,0.0072166999998444226,0.0013541676688542945,,,,,
37774,77,37774,1625.2787625789642,38005,0.015803618983588258,248,77,0,0.0053163319995116086,0.016979798674583435,0.0,168.872,0.0222127748987856,0.03099059999999554,0.0034653974248622017,0.040031762753026556,0.042418400000087786,0.0008156759512709912,0.04176426600000923,27,0.004625058704457268,0.007243100000096092,0.0013412875887080112,,,,,
38021,78,38021,1636.6144669055939,38255,0.015155874003079675,248,78,0,0.005097383864091582,0.018816368654370308,0.0,168.872,0.02212939595141035,0.03017819999990934,0.0033798547821175377,0.040022652226722674,0.04177419999996346,0.0007428530205244378,0.0415452939998795,23,0.0045102809716540335,0.007552099999884376,0.0013177438650274378,,,,,
38268,79,38268,1647.9488244056702,38505,0.019504751819432745,248,79,0,0.006559098977548626,0.015531511977314949,0.0,168.872,0.0221647336032437,0.03378769999994802,0.0035815121854629504,0.040052135222672425,0.042333300000109375,0.000771121383777826,0.04160554000001412,25,0.0048453882591164565,0.009237200000143275,0.0013577872509023194,,,,,
38515,80,38515,1659.266812324524,38755,0.012861516451410274,248,80,0,0.004324978323952124,0.01758241280913353,0.0,168.872,0.021866169635615166,0.030086900000014793,0.0034667977030297297,0.04003796356274646,0.04242360000012013,0.0007247590375281576,0.04145703799984858,24,0.00461714170040635,0.007462700000132827,0.0013693146893819673,,,,,
38762,81,38762,1670.5937943458557,39005,0.015702547520865345,248,81,0,0.0052793605548011385,0.024626150727272034,0.0,168.872,0.022486142914977986,0.03368420000015249,0.0037859825408768505,0.040025925910934235,0.041917000000012195,0.0007019612750789913,0.04152586400010477,23,0.004882675708499718,0.008264700000154335,0.0012843317177372055,,,,,
39009,82,39009,1681.884191274643,39255,0.020316254465731546,248,82,0,0.00682920891150359,0.021579397842288017,0.0,168.872,0.021902494331981635,0.031616399999848,0.0037438913076484883,0.040030922672065074,0.04707080000002861,0.0008988520295268432,0.04145798600002308,15,0.004791129149798103,0.007067799999958879,0.0012401963375225824,,,,,
39256,83,39256,1693.2251617908478,39505,0.016723527303498503,248,83,0,0.005623098981525418,0.017780950292944908,0.0,168.872,0.022425693117406165,0.03396370000018578,0.0037863552358395293,0.040044372874488525,0.04215780000004088,0.0006873136783274455,0.04170279800001936,23,0.004747810526328159,0.007584599999972852,0.0013756032528956315,,,,,
39503,84,39503,1704.5536434650421,39755,0.01380893757943813,248,84,0,0.004644301004220559,0.01371236052364111,0.0,168.872,0.021875469635621925,0.03302659999985735,0.0037781981552084845,0.0400309311740869,0.04210980000016207,0.0007320332196786713,0.041618356000008135,23,0.004628429554642994,0.00761249999982283,0.0014446557107991166,,,,,
