ep_count,ep_steps,total_steps,packages_lost,ep_reward,speed_mean,speed_max,BestLap,LapNo_0,LapNo_1,LapNo_2,LapNo_3,LapNo_4,LapNo_5
38,248,15284,0,0.024247805580241397,0.008153835611137179,0.5818861722946167,0.0,0.0,,,,,
39,248,15534,0,0.014564427119389526,0.004895355031499827,0.014362633228302002,0.0,0.0,,,,,
40,248,15784,0,0.018100688921934227,0.006086303664731884,0.02134104259312153,0.0,0.0,,,,,
41,248,16034,0,0.018898344382385798,0.006353679529931997,0.021001383662223816,0.0,0.0,,,,,
42,248,16284,0,0.01904951080436637,0.006404559803007531,0.02280236966907978,0.0,0.0,,,,,
43,248,16534,0,0.02313264343573434,0.007779077558640687,0.025505926460027695,0.0,0.0,,,,,
44,248,16784,0,0.01693276095716867,0.005694367063105963,0.01841060072183609,0.0,0.0,,,,,
45,248,17034,0,0.01919291953392743,0.0064540710289645266,0.02686918154358864,0.0,0.0,,,,,
46,248,17284,0,0.02364491724005912,0.007951479404225885,0.02471495047211647,0.0,0.0,,,,,
47,248,17534,0,0.019209498878324557,0.006459781804287266,0.020702220499515533,0.0,0.0,,,,,
48,248,17784,0,0.020247670635098552,0.006810028523520281,0.02357427403330803,0.0,0.0,,,,,
49,248,18034,0,0.01796799502183475,0.006041642272682493,0.019034331664443016,0.0,0.0,,,,,
50,248,18284,0,0.017265462972293512,0.005803228194230131,0.02136983722448349,0.0,0.0,,,,,
51,248,18534,0,0.02065330461515008,0.006943089389918192,0.02070944383740425,0.0,0.0,,,,,
52,248,18784,0,0.016404149393157774,0.00551409548079978,0.023028533905744553,0.0,0.0,,,,,
53,248,19034,0,0.016422242841953545,0.00552089294562334,0.021953292191028595,0.0,0.0,,,,,
54,248,19284,0,0.01789221632573198,0.006013854188847378,0.0196271613240242,0.0,0.0,,,,,
55,248,19534,0,0.017525698143728313,0.005891409187531662,0.023671988397836685,0.0,0.0,,,,,
56,248,19784,0,0.022351124521096617,0.007513438560225393,0.028816968202590942,0.0,0.0,,,,,
57,248,20034,0,0.021943041592855803,0.007382267815985195,0.021134288981556892,0.0,0.0,,,,,
58,248,20284,0,0.013595435786279326,0.0045719087814382695,0.019908975809812546,0.0,0.0,,,,,
59,248,20534,0,0.015616772262151891,0.005249657110036951,0.01827460527420044,0.0,0.0,,,,,
60,248,20784,0,0.14845712593493354,0.04997929258852016,0.7542695999145508,0.0,0.0,,,,,
61,248,21034,0,0.01917099197928055,0.0064451447587118545,0.02329995296895504,0.0,0.0,,,,,
62,248,21284,0,0.01761361684066141,0.005922837459365837,0.022128792479634285,0.0,0.0,,,,,
63,248,21534,0,0.015652627757268743,0.0052622858680303084,0.02634226158261299,0.0,0.0,,,,,
64,248,21784,0,0.01611887648671414,0.005418482128246274,0.01983327977359295,0.0,0.0,,,,,
65,248,22034,0,0.01623751161865658,0.00545933545518276,0.01811867021024227,0.0,0.0,,,,,
66,248,22284,0,0.01852723419754542,0.0062294982789382865,0.01963910646736622,0.0,0.0,,,,,
67,248,22534,0,0.019169762276937532,0.006445220527424563,0.0195622555911541,0.0,0.0,,,,,
68,248,22784,0,0.015907440538382885,0.005348156088720932,0.01689935103058815,0.0,0.0,,,,,
69,575,23361,0,68.50438772262707,11.800590520820469,33.7180061340332,0.0,0.0,,,,,
70,207,23570,0,28.285073659931555,12.402622570486734,24.005212783813477,0.0,0.0,,,,,
71,950,24522,0,151.99832484530685,15.175545896763277,44.80686950683594,0.0,0.0,,,,,
72,274,24798,0,76.81213312439189,25.951175787319585,39.70078659057617,0.0,0.0,,,,,
73,516,25316,0,111.80442161287934,25.362905681082058,44.887779235839844,0.0,0.0,,,,,
74,339,25657,0,2.934558786166591,0.8150964321755422,8.482770919799805,0.0,0.0,,,,,
