step,episode,buffer_size,total_time,total_steps,ep_reward,ep_steps,ep_count,packages_lost,speed_mean,speed_max,BestLap,LapNo_0,update_model_perf_mean,update_model_perf_max,update_model_perf_std,step_perf_mean,step_perf_max,step_perf_std,step_perf_q99,step_perf_> thres,action_perf_mean,action_perf_max,action_perf_std,policy_loss,entropy_loss,alpha,entropy,LapNo_1,LapNo_2,LapNo_3,LapNo_4,LapNo_5
76,1,76,4.7834508419036865,79,1.6240005188226838,77,1,0,1.9033836198489895,5.407196998596191,0.0,0.0,9.407894736462571e-07,2.2999999984563146e-06,3.7633189126549884e-07,0.04007993157894746,0.041927600000001064,0.0005508882414148063,0.041891525000000485,2,8.609736842121594e-05,0.001667799999999886,0.0001828145364294318,,,,,,,,,
610,2,610,27.613428831100464,616,3.6856909798868047,535,2,0,0.7888977024715642,3.817760944366455,0.0,0.0,8.990636704998984e-07,7.300000000043383e-06,4.89686768050001e-07,0.04004412546816505,0.04297740000000161,0.0005646659907518345,0.04117223400000228,18,6.596760299638598e-05,0.00014949999999913643,1.0297651593488606e-05,,,,,,,,,
873,3,873,39.55184316635132,882,1.757611167169513,264,3,0,0.5955638196572898,3.1705892086029053,0.0,0.0,9.201520909848715e-07,2.2000000043931323e-06,3.850000933207932e-07,0.040031694676805785,0.04143369999999891,0.000590464334883937,0.041148236000001503,9,6.592737642566108e-05,0.0001622999999995045,1.0593610042164557e-05,,,,,,,,,
1328,4,1328,59.231483936309814,1340,6.427899767640852,456,4,0,1.4597662156489892,6.510980606079102,0.0,0.0,8.729670331273146e-07,3.1999999947629476e-06,3.912715098298828e-07,0.040028372527472815,0.04318340000000376,0.0006625196466949211,0.0417918680000055,23,6.837296703342385e-05,0.00020709999999724005,1.436146687283164e-05,,,,,,,,,
1475,5,1475,66.5457706451416,1490,3.8040996948548336,148,5,0,2.9493877405148923,7.710053443908691,0.0,0.0,9.353741492317209e-07,3.3000000030369847e-06,4.266309586933875e-07,0.0401065394557828,0.046782500000006166,0.000943028104526474,0.041772843999998484,21,6.708571428615401e-05,9.699999999668307e-05,8.715089736415771e-06,,,,,,,,,
2054,6,2054,91.19301295280457,2072,8.043473563701383,580,6,0,1.2872945331922203,7.016319274902344,0.0,0.0,0.0017598915371331506,0.3821563999999995,0.016206781647400213,0.040038455785837805,0.6659267,0.026509131078532294,0.04197358200000935,106,0.0007550435233159099,0.2812856000000039,0.011688339467044326,,,,,,,,,
2941,7,2941,128.16758584976196,2962,393.37253179551493,888,7,0,40.05984142963283,63.106868743896484,0.0,0.0,0.011400509582863743,0.017789600000000405,0.0015364995422907579,0.04004332987598648,0.057123599999997055,0.0009107458818986512,0.0414470840000007,71,0.002880944870349354,0.017669500000010885,0.0009432610664954586,,,,,,,,,
3426,8,3426,149.01443457603455,3450,15.649753057730102,486,8,0,3.4665190659467835,13.130816459655762,0.0,0.0,0.01133988969072204,0.01833440000001474,0.0017517563114715726,0.040068092783505066,0.05442110000001321,0.0010217449691336121,0.041559819999990845,61,0.0029366404123718957,0.0051430000000038945,0.0007970651147359172,,,,,,,,,
3699,9,3699,161.3696768283844,3726,8.833845059889079,274,9,0,3.8973962520210947,14.861186981201172,0.0,0.0,0.01098624139194143,0.014349799999990864,0.0012563994566167525,0.040023080952380496,0.04170329999999467,0.0007023997593822277,0.04143056000000683,26,0.0028372857142858806,0.00487050000000977,0.0007955475020622184,,,,,,,,,
4040,10,4040,176.46844124794006,4070,7.885501552897865,342,10,0,2.5478303279943506,11.48569107055664,0.0,0.0,0.010921075073313845,0.014698199999997996,0.0012888604435414327,0.04004079090909095,0.041750300000018115,0.000642740335143462,0.041249059999995556,17,0.0028731914956017157,0.006559100000004037,0.000878300223130649,-28.151609420776367,-2.887315034866333,0.5373980402946472,1.6516121625900269,,,,,
