step,episode,buffer_size,total_time,total_steps,ep_reward,ep_steps,ep_count,packages_lost,speed_mean,speed_max,BestLap,LapNo_0,update_model_perf_mean,update_model_perf_max,update_model_perf_std,step_perf_mean,step_perf_max,step_perf_std,step_perf_q99,step_perf_> thres,action_perf_mean,action_perf_max,action_perf_std,policy_loss,entropy_loss,alpha,entropy,LapNo_1,LapNo_2,LapNo_3,LapNo_4,LapNo_5
80,1,80,4.850421905517578,83,1.5026451519039608,81,1,0,1.6687808195200897,4.421732425689697,0.0,0.0,5.837500001382167e-07,2.500000000793534e-06,2.8567628104468603e-07,0.04000268125000002,0.04161800000000149,0.0006335899977694494,0.04135611500000031,2,7.262875000020319e-05,0.0014399000000011597,0.00015390324817388264,,,,,,,,,
175,2,175,10.083722829818726,181,2.1865185574990833,96,2,0,2.048333449637236,8.264485359191895,0.0,0.0,6.610526314881028e-07,1.4999999997655777e-06,2.5886177444980325e-07,0.040006299999999904,0.0415934,0.0006260913092984173,0.04141498800000228,4,5.664736842092566e-05,8.220000000136451e-05,5.5545115301334145e-06,,,,,,,,,
401,3,401,20.5753333568573,410,3.194013368764795,227,3,0,1.2467792021887099,5.920497417449951,0.0,0.0,7.787610619771564e-07,2.500000000793534e-06,3.5322817905239397e-07,0.04004522168141584,0.041955500000000256,0.0006898814608442233,0.041590499999998976,14,6.156460176977971e-05,0.00013249999999942474,1.1074030214655286e-05,,,,,,,,,
471,4,471,24.796669006347656,483,1.6759809708687339,71,4,0,2.121802132875121,6.6177825927734375,0.0,0.0,9.228571427805881e-07,1.7999999997186933e-06,3.0713953457035836e-07,0.040035928571427855,0.04436290000000298,0.0008340582431094159,0.04220678800000166,3,6.457571428545148e-05,9.550000000047021e-05,1.0370003936131063e-05,,,,,,,,,
721,5,721,36.2469437122345,736,14.15968036460644,251,5,0,5.8894407548212335,17.58428382873535,0.0,0.0,8.212000001890374e-07,2.199999997287705e-06,3.3798011753853663e-07,0.040108235600000285,0.05510990000000504,0.0010744710555680493,0.041601210000003226,9,6.319720000033157e-05,0.00011969999999905667,1.1179225025221453e-05,,,,,,,,,
799,6,799,40.79852747917175,817,3.011825893426636,79,6,0,4.704055775847003,10.39176082611084,0.0,0.0,8.974358972652798e-07,1.4000000021496817e-06,1.9012435837621182e-07,0.04004216025641036,0.04262159999999682,0.0007190697998179822,0.041803629000001556,4,7.307820512782206e-05,0.00019899999999495321,1.939317648561447e-05,,,,,,,,,
1142,7,1142,55.97859978675842,1163,4.020846169489893,344,7,0,1.0433515327896985,7.2416090965271,0.0,0.0,9.020408162822308e-07,2.2000000043931323e-06,3.099354368307544e-07,0.040037767638484385,0.04145150000000086,0.0004496419798041011,0.04120208400000095,8,6.940291545170335e-05,0.00013039999999620022,9.339339205960736e-06,,,,,,,,,
1233,8,1233,61.05993366241455,1257,5.069301167412861,92,8,0,4.948160132333768,9.849092483520508,0.0,0.0,8.329670331752094e-07,2.300000005561742e-06,3.1901460449943966e-07,0.040051041758242326,0.041780299999999215,0.0005056844987955374,0.04096922000001086,1,6.81879120880959e-05,0.00014490000000932923,1.221324119509937e-05,,,,,,,,,
1868,9,1868,87.94026446342468,1895,3.983838939623525,636,9,0,0.8293284984058759,7.895143032073975,0.0,0.0,9.107086614409757e-07,7.800000005886432e-06,3.9386472168897033e-07,0.040017663464567144,0.04124470000000713,0.0004146872934614696,0.040994430000003204,6,6.897669291364278e-05,0.00012879999999881875,8.68464071448761e-06,,,,,,,,,
2799,10,2799,126.71543765068054,2829,432.9694278809785,932,10,0,41.78431878243351,65.4564208984375,0.0,0.0,0.009167843823845155,0.23433119999999974,0.008437159095221594,0.040090806766917834,0.52923890000001,0.016528822385706583,0.041373389999996846,25,0.0024157170784105324,0.293405000000007,0.009587232346364683,,,,,,,,,
3937,11,3937,173.755961894989,3970,319.01724777455104,1139,11,0,25.782820368328732,46.0507698059082,0.0,0.0,0.010259859226714203,0.01682830000001445,0.0020755127677755682,0.040040459138840724,0.04238639999999805,0.0005768237856504153,0.04131403000000546,40,0.0024921688049207497,0.017302000000000817,0.0006281952264764009,,,,,,,,,
4338,12,4338,191.26530051231384,4374,17.778783299024695,402,12,0,4.551781464821024,12.23046875,0.0,0.0,0.010358649625934878,0.016225800000000845,0.0019121710880644416,0.0400299693266837,0.04127929999998514,0.00051720562693238,0.041094899999990275,10,0.002441168578554565,0.00437159999998471,0.000386564398419013,,,,,,,,,
4724,13,4724,208.15269827842712,4763,58.67139049938284,387,13,0,14.807805207985208,29.529504776000977,0.0,0.0,0.010301809067358331,0.015355400000004238,0.001711709286441339,0.04003358160621831,0.04180949999999939,0.0006061301829664393,0.04125910500001027,16,0.0024652953367865424,0.0036991999999997915,0.00035417824649391027,,,,,,,,,
6181,14,6181,267.9714801311493,6223,395.28987151786976,1458,14,0,25.823054963196082,45.1853141784668,0.0,0.0,0.010551084282772885,0.018741900000009082,0.0023904090846208668,0.040024291695265474,0.04211300000000051,0.0005632895907190281,0.04133744799999363,41,0.002576973301304044,0.004361099999982798,0.0005075880361562169,,,,,,,,,
7001,15,7001,302.23913168907166,7046,280.28364733987326,821,15,0,32.3653856749719,50.53038787841797,0.0,0.0,0.009988068170731636,0.01807250000001659,0.002548184573075573,0.04003940658536534,0.042137600000046405,0.0005232971669456588,0.04121516400000359,25,0.002482398048780896,0.004204500000014377,0.0004953229192526333,,,,,,,,,
7206,16,7206,311.86085653305054,7254,39.38085306602882,206,16,0,16.559725448975193,34.42723083496094,0.0,0.0,0.009692785365852405,0.017382800000007137,0.0024422769382069693,0.040020339512193734,0.04146789999998646,0.0004892408877980126,0.04107262799996533,3,0.0024925004878041807,0.004091500000015458,0.0004225227531478248,,,,,,,,,
8029,17,8029,346.25804710388184,8080,425.76827638691225,824,17,0,46.280868476075746,67.33162689208984,0.0,0.0,0.01053897703523692,0.12382900000000063,0.0047113750585345195,0.04002043693803129,0.12660850000003165,0.0035335713954350923,0.04143273799999065,31,0.0025337527339001067,0.004287400000009711,0.0005031445699686855,,,,,,,,,
8276,18,8276,357.56068658828735,8330,0.025992507194658537,248,18,0,0.008746701639005726,0.3652217388153076,0.0,0.0,0.010505872064778314,0.023046899999997095,0.002575759243767654,0.03999903238866202,0.04281649999995807,0.0005826329351200978,0.04118612799999255,6,0.0026078226720680046,0.004061200000023746,0.0004945737556812269,,,,,,,,,
8523,19,8523,368.8459107875824,8580,0.027003617440322054,248,19,0,0.00907706735007753,0.22453093528747559,0.0,0.0,0.01078012105263424,0.01756710000000794,0.002003584202897491,0.04000010850202405,0.041081000000019685,0.0004800872350417921,0.040840680000023895,2,0.002571252631580334,0.0038529000000266933,0.0005481349074312525,,,,,,,,,
8770,20,8770,380.1670699119568,8830,0.04294046240322455,248,20,0,0.014441453611447462,0.34426507353782654,0.0,0.0,0.01050404170040554,0.014034100000003491,0.0017210749885684885,0.04003897085020279,0.04141829999997526,0.0005051836080629601,0.04127256799996758,5,0.0026294712550575814,0.009206300000016654,0.0006752218091885611,-36.55036163330078,-6.049932479858398,0.14147502183914185,0.09401571750640869,,,,,
9017,21,9017,391.5031728744507,9080,0.05384694689096728,248,21,0,0.018108508056273773,0.29358893632888794,0.0,0.0,0.010482906072875147,0.01514100000002827,0.0018951427105124532,0.04004501012145844,0.04128889999998364,0.0005052680577085131,0.0411635059999719,4,0.002616038461538022,0.004207199999996192,0.0005734148863081237,,,,,,,,,
9264,22,9264,402.8333547115326,9330,0.052429903528290155,248,22,0,0.017632759531895113,0.2766953408718109,0.0,0.0,0.009633142914980304,0.013050399999997353,0.0013182807284045162,0.040052419028341196,0.04109199999999191,0.00047144721078117545,0.04102313600000684,3,0.002477974493927714,0.003590799999983574,0.00037356806993106117,,,,,,,,,
9511,23,9511,414.11513447761536,9580,0.07737375761044724,248,23,0,0.026031766944793016,0.2590259611606598,0.0,0.0,0.009620691497976164,0.01536679999998114,0.00141309085280189,0.04001276356275748,0.04183910000000424,0.0005321861383744895,0.04109607799997548,5,0.002474882591092813,0.00342110000002549,0.0004294703417872495,,,,,,,,,
9758,24,9758,425.40141582489014,9830,0.13301195615791706,248,24,0,0.04481106695687143,0.22879569232463837,0.0,0.0,0.010115968825911486,0.016315399999996316,0.0014687732356528417,0.04000093157894785,0.04746810000000323,0.0008901782139571753,0.041445098000031065,10,0.002865657085018353,0.004285699999968529,0.000626372439767419,,,,,,,,,
10005,25,10005,436.7191994190216,10080,0.17795202904072632,248,25,0,0.06002064826785617,0.5898796916007996,0.0,0.0,0.010307033198380543,0.014857799999958843,0.0014641990394596658,0.04001833927125435,0.04144700000000512,0.0005815415341217287,0.04130674600002294,11,0.002540626720647915,0.003935100000035163,0.0006087072220705316,,,,,,,,,
